,UTCtimestamps,timestamp,open,high,low,close,volume,vwap
0,1.06472E+12,2003-09-28 00:00:00-04:00,27.82,29.803,27.81,29.61,169066125,28.88421
1,1.06533E+12,2003-10-05 00:00:00-04:00,29.68,30.49,29.15,30.43,240098032,29.85095
2,1.06593E+12,2003-10-12 00:00:00-04:00,30.71,32.78,30.48,31.66,328376370,31.6317
3,1.06654E+12,2003-10-19 00:00:00-04:00,31.61,32.5,30.36,31.08,247293165,31.47629
4,1.06714E+12,2003-10-26 00:00:00-04:00,31.25,33.28,31.24,32.95,237146320,32.46017
5,1.06775E+12,2003-11-02 00:00:00-05:00,33.33,34.51,33.15,33.87,231249123,33.83159
6,1.06835E+12,2003-11-09 00:00:00-05:00,34.01,34.29,32.7,32.8,257227965,33.58271
7,1.06896E+12,2003-11-16 00:00:00-05:00,32.4,32.79,31.66,32.32,277315785,32.21862
8,1.06956E+12,2003-11-23 00:00:00-05:00,32.5,33.74,32.5,33.54,140424778,33.26395
9,1.07017E+12,2003-11-30 00:00:00-05:00,33.82,34.4,31.9999,32.1,270548815,33.42727
10,1.07077E+12,2003-12-07 00:00:00-05:00,31.93,32.29,29.66,30.86,334415088,30.8472
11,1.07138E+12,2003-12-14 00:00:00-05:00,31.5,31.53,29.71,30.57,282821488,30.52303
12,1.07138E+12,2003-12-14 00:00:00-05:00,31.5,31.53,29.71,30.57,282821488,30.52303
13,1.07198E+12,2003-12-21 00:00:00-05:00,30.39,31.54,30.17,31.36,98591941,30.79897
14,1.07259E+12,2003-12-28 00:00:00-05:00,31.54,32.6,31.51,32.16,137499446,32.13147
15,1.07319E+12,2004-01-04 00:00:00-05:00,32.52,34.6,32.4,33.97,251223139,33.5965
16,1.0738E+12,2004-01-11 00:00:00-05:00,34.27,34.39,32.67,32.89,331442023,33.37283
17,1.0744E+12,2004-01-18 00:00:00-05:00,33.02,33.06,31.48,31.75,201858836,32.05307
18,1.07501E+12,2004-01-25 00:00:00-05:00,31.74,32.49,30.35,30.52,303352738,31.36767
19,1.07561E+12,2004-02-01 00:00:00-05:00,30.88,31.43,29.75,30.88,336628364,30.49697
20,1.07622E+12,2004-02-08 00:00:00-05:00,31,31.38,29.86,30.14,226464060,30.66286
21,1.07682E+12,2004-02-15 00:00:00-05:00,30.4,31.1,29.5,30,212643957,30.33706
22,1.07743E+12,2004-02-22 00:00:00-05:00,30.03,30.03,28.65,29.2,319956276,29.33798
23,1.07803E+12,2004-02-29 00:00:00-05:00,29.01,30.14,28.77,28.95,377687813,29.29606
24,1.07864E+12,2004-03-07 00:00:00-05:00,29.08,29.1,27.04,27.69,440079601,27.77076
25,1.07924E+12,2004-03-14 00:00:00-05:00,27.56,27.9,26.41,26.49,332449450,27.23819
26,1.07985E+12,2004-03-21 00:00:00-05:00,26.27,27.85,26.03,27.38,362878015,26.84324
27,1.08045E+12,2004-03-28 00:00:00-05:00,27.62,28.12,27.02,28.12,321802205,27.56353
28,1.08105E+12,2004-04-04 00:00:00-05:00,28.27,28.56,27.2,27.37,261542296,27.9293
29,1.08166E+12,2004-04-11 00:00:00-04:00,27.701,27.88,26.26,26.45,366338730,27.19679
30,1.08226E+12,2004-04-18 00:00:00-04:00,26.41,27.57,25.83,27.53,294423297,26.59404
31,1.08287E+12,2004-04-25 00:00:00-04:00,27.53,27.58,25.72,25.73,319204819,26.59842
32,1.08347E+12,2004-05-02 00:00:00-04:00,26.05,26.83,25.61,26.47,287062080,26.22577
33,1.08408E+12,2004-05-09 00:00:00-04:00,26.34,27.78,26.14,27.04,346470486,27.09442
34,1.08468E+12,2004-05-16 00:00:00-04:00,26.51,27.95,26.44,27.55,294605039,27.35907
35,1.08528E+12,2004-05-23 00:00:00-04:00,27.83,28.98,27.48,28.55,266371836,28.15983
36,1.08589E+12,2004-05-30 00:00:00-04:00,28.38,28.72,27.36,28.14,219193648,28.09503
37,1.08649E+12,2004-06-06 00:00:00-04:00,28.42,29.01,28.23,28.64,173943735,28.62462
38,1.0871E+12,2004-06-13 00:00:00-04:00,28.28,28.65,27.34,27.64,210251671,27.99839
39,1.0877E+12,2004-06-20 00:00:00-04:00,27.83,28.6,27.14,27.78,267270949,27.95059
40,1.08831E+12,2004-06-27 00:00:00-04:00,27.911,27.97,26.25,26.33,270660380,27.21131
41,1.08891E+12,2004-07-04 00:00:00-04:00,26.031,26.73,25.68,26.57,191532342,26.27093
42,1.08952E+12,2004-07-11 00:00:00-04:00,26.08,26.49,22.65,22.73,601956188,24.12603
43,1.09012E+12,2004-07-18 00:00:00-04:00,22.859,23.52,22.47,22.67,342357777,22.97347
44,1.09073E+12,2004-07-25 00:00:00-04:00,22.85,24.64,22.66,24.38,434378984,23.56431
45,1.09133E+12,2004-08-01 00:00:00-04:00,24.03,24.99,22.6899,22.77,294626107,24.01258
46,1.09194E+12,2004-08-08 00:00:00-04:00,22.92,22.99,21.0299,21.56,303005589,21.93318
47,1.09254E+12,2004-08-15 00:00:00-04:00,21.57,22.27,21.34,21.62,293711139,21.79657
48,1.09315E+12,2004-08-22 00:00:00-04:00,21.81,22.27,21.53,22.02,254327461,21.92342
49,1.09375E+12,2004-08-29 00:00:00-04:00,21.99,22.04,19.85,20.05,426647630,20.80566
50,1.09436E+12,2004-09-05 00:00:00-04:00,20.2,20.7,19.6906,20.57,316718455,20.03976
51,1.09496E+12,2004-09-12 00:00:00-04:00,20.77,21.18,19.9,20.59,347495205,20.51572
52,1.09557E+12,2004-09-19 00:00:00-04:00,20.46,21.35,20.07,20.13,327158070,20.72342
53,1.09617E+12,2004-09-26 00:00:00-04:00,19.99,20.92,19.64,20.85,344523009,20.11872
54,1.09678E+12,2004-10-03 00:00:00-04:00,21.18,21.57,20.49,20.55,346095415,21.14991
55,1.09738E+12,2004-10-10 00:00:00-04:00,20.67,21.53,20.22,20.61,430493570,20.76104
56,1.09799E+12,2004-10-17 00:00:00-04:00,20.555,21.91,20.35,21.3,361757413,21.19089
57,1.09859E+12,2004-10-24 00:00:00-04:00,21.22,22.61,21.2,22.26,312638818,21.82116
58,1.0992E+12,2004-10-31 00:00:00-04:00,22.19,23.38,22.15,23.36,340329704,22.76358
59,1.0998E+12,2004-11-07 00:00:00-05:00,23.225,23.76,22.54,23.69,347626939,23.07944
60,1.10041E+12,2004-11-14 00:00:00-05:00,23.55,24.99,23.41,24.16,356419617,24.15133
