,UTCtimestamps,timestamp,open,high,low,close,volume,vwap
0,1.27761E+12,2010-06-27 00:00:00-04:00,3.8,6.0838,3.508,3.84,246746700,4.54719
1,1.27822E+12,2010-07-04 00:00:00-04:00,4,4,2.996,3.48,127911775,3.35201
2,1.27882E+12,2010-07-11 00:00:00-04:00,3.59,4.3,3.38,4.128,77231235,3.84883
3,1.27943E+12,2010-07-18 00:00:00-04:00,4.274,4.45,3.9,4.258,35907780,4.22428
4,1.28003E+12,2010-07-25 00:00:00-04:00,4.3,4.3,3.91,3.988,15260255,4.11162
5,1.28064E+12,2010-08-01 00:00:00-04:00,4.1,4.436,3.904,3.918,22047210,4.17338
6,1.28124E+12,2010-08-08 00:00:00-04:00,3.98,3.996,3.478,3.664,21086930,3.72684
7,1.28184E+12,2010-08-15 00:00:00-04:00,3.69,3.918,3.6523,3.82,12060025,3.76862
8,1.28245E+12,2010-08-22 00:00:00-04:00,3.818,4.0778,3.712,3.94,15388850,3.9132
9,1.28305E+12,2010-08-29 00:00:00-04:00,3.94,4.26,3.866,4.21,11756220,4.06648
10,1.28366E+12,2010-09-05 00:00:00-04:00,4.122,4.21,3.952,4.034,6472425,4.12564
11,1.28426E+12,2010-09-12 00:00:00-04:00,4.178,4.632,3.96,4.046,27922140,4.2787
12,1.28487E+12,2010-09-19 00:00:00-04:00,4.134,4.31,3.9,4.02,19766770,4.09302
13,1.28547E+12,2010-09-26 00:00:00-04:00,4.08,4.43,4.01,4.12,31991075,4.22457
14,1.28608E+12,2010-10-03 00:00:00-04:00,4.086,4.256,4.06,4.086,8491085,4.15348
15,1.28668E+12,2010-10-10 00:00:00-04:00,4.088,4.206,4.006,4.108,6575535,4.09313
16,1.28729E+12,2010-10-17 00:00:00-04:00,4.104,4.19,4,4.144,6496600,4.09837
17,1.28789E+12,2010-10-24 00:00:00-04:00,4.188,4.374,4.102,4.368,8143960,4.24891
18,1.2885E+12,2010-10-31 00:00:00-04:00,4.388,5.066,4.21,4.888,20190975,4.68736
19,1.2891E+12,2010-11-07 00:00:00-04:00,4.9,6.1,4.806,5.968,46012625,5.57628
20,1.28971E+12,2010-11-14 00:00:00-05:00,6.044,6.5879,5.684,6.198,34149735,6.11287
21,1.29032E+12,2010-11-21 00:00:00-05:00,6.314,7.2,6.3,7.064,24417775,6.8507
22,1.29092E+12,2010-11-28 00:00:00-05:00,7.0824,7.284,6.174,6.298,39175515,6.73508
23,1.29153E+12,2010-12-05 00:00:00-05:00,6.27,6.584,5.912,6.304,20411335,6.26629
24,1.29153E+12,2010-12-05 00:00:00-05:00,6.27,6.584,5.912,6.304,20411335,6.26629
25,1.29213E+12,2010-12-12 00:00:00-05:00,6.328,6.354,5.5522,6.272,22620140,5.94714
